guba_name,total_readnum,total_replynum
螺纹钢吧,37919654,66403
铁矿石吧,21483372,39400
玉米吧,658947296,14988
橡胶吧,9771180,13470
鸡蛋吧,4434579,9081
焦炭吧,8880436,8027
豆粕吧,2903893,6075
期货吧,2617332,2440
沪锌吧,2271322,1573
动力煤吧,1442880,1467
